car name,move
B,down
F,up
F,up
E,left
B,down
B,down
X,left
X,left
G,up
H,left
G,up
F,up
H,right
A,left
G,down
G,down
X,right
X,right
B,up
B,up
E,right
A,left
F,down
F,down
F,down
A,left
B,up
F,up
F,up
E,left
B,down
B,down
B,down
X,left
X,left
G,up
H,left
G,up
F,up
H,right
G,up
D,left
H,left
C,down
C,down
C,down
F,down
A,right
C,up
H,right
C,up
F,up
F,up
H,left
C,down
C,down
X,left
B,up
H,left
H,left
H,left
B,down
C,up
X,right
F,down
C,down
F,down
A,left
C,up
C,up
F,up
C,up
D,right
G,down
G,down
G,down
F,down
X,right
X,right
B,up
H,right
B,up
E,right
H,left
F,down
B,up
H,right
F,down
B,down
A,right
F,up
A,right
H,left
F,up
E,left
H,right
B,down
F,up
H,left
B,down
F,down
X,left
X,left
G,up
G,up
F,up
A,right
G,down
G,down
X,right
F,up
X,right
B,up
H,right
B,up
E,right
H,left
A,left
E,left
A,left
B,down
B,down
X,left
X,left
G,up
X,left
B,up
G,down
H,right
B,up
E,right
H,left
G,up
G,up
H,right
H,right
H,right
H,right
G,down
G,down
E,left
B,down
B,down
G,up
H,left
B,up
H,left
G,up
H,left
G,up
H,left
D,left
C,down
H,right
H,right
H,right
H,right
C,down
B,up
H,left
H,left
H,left
H,left
E,right
C,down
H,right
H,right
H,right
E,right
E,right
H,left
H,left
H,left
B,down
B,down
C,up
X,right
F,down
C,down
F,down
F,down
C,up
X,left
B,up
C,down
H,right
H,right
H,right
B,down
F,down
C,up
H,right
F,up
B,up
C,up
H,left
B,down
E,right
H,right
F,down
B,up
H,left
H,left
H,left
E,left
C,down
H,right
B,up
C,down
H,right
E,left
E,left
H,left
H,left
E,right
F,up
H,right
C,up
H,right
H,right
F,down
E,right
C,up
H,left
E,left
H,left
H,left
E,left
F,up
H,right
H,right
H,right
F,down
C,up
H,left
H,left
D,right
H,left
E,right
E,right
H,right
H,right
H,right
E,right
B,down
H,left
B,down
E,left
H,right
G,down
E,right
G,down
G,down
F,up
B,up
G,up
H,left
B,down
X,right
H,right
F,up
G,down
X,right
F,down
F,down
X,right
B,up
F,up
F,up
B,up
F,up
A,right
B,down
B,down
F,down
F,down
A,right
F,down
B,up
B,up
F,up
F,up
B,up
F,up
F,up
B,down
B,down
B,down
X,left
X,left
G,up
H,left
F,down
F,down
H,right
G,down
F,down
F,down
G,up
H,left
X,left
F,up
H,right
B,up
G,down
F,down
B,up
G,up
H,left
H,left
H,left
G,down
B,down
F,up
H,left
B,down
G,up
X,right
F,up
G,down
X,right
F,down
X,right
B,up
H,right
F,down
B,up
B,up
F,up
H,left
F,up
B,down
H,right
A,left
B,down
H,left
B,down
A,left
F,down
X,left
X,left
G,up
X,left
B,up
H,right
F,down
G,up
E,left
A,left
B,up
B,up
G,up
D,left
C,down
C,down
C,down
D,left
D,left
G,down
D,left
B,down
A,right
A,right
A,right
A,right
G,up
B,up
D,right
D,right
D,right
B,down
B,down
F,up
H,left
B,down
X,right
F,up
F,up
F,up
X,left
B,up
B,up
E,left
E,left
E,left
B,up
D,left
D,left
G,down
G,down
G,down
D,left
B,down
B,down
B,down
X,right
X,right
X,right
X,right
